Kline open time,Open price,high,low,close,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,timestamp,short_ma,long_ma,rsi,macd,macd_signal,bb_upper,bb_middle,bb_lower,atr
2024-12-03 12:00:00-03:00,580845.0,586519.0,578110.0,579722.0,81.33852,2024-12-03 15:59:59.999000-03:00,47388252.72218,14504,36.63199,21347980.66012,2024-12-03 12:00:00-03:00,580431.2857142857,581429.380952381,50.007512991531435,,,585247.8843549963,580435.8,575623.7156450038,7445.958231482219
2024-12-03 16:00:00-03:00,579721.0,583961.0,577222.0,583812.0,43.03682,2024-12-03 19:59:59.999000-03:00,25015530.66325,8318,20.72969,12050893.15809,2024-12-03 16:00:00-03:00,580847.8571428572,581762.5238095238,53.98396745068877,,,585002.0482990099,580374.6,575747.15170099,7395.461214947775
2024-12-03 20:00:00-03:00,583977.0,584888.0,577101.0,580941.0,50.99332,2024-12-03 23:59:59.999000-03:00,29648364.3024,9880,22.54238,13108580.94412,2024-12-03 20:00:00-03:00,580990.2857142857,581771.7619047619,50.92206170806756,,,585024.6496804185,580390.2,575755.7503195814,7423.428271022934
2024-12-04 00:00:00-03:00,580940.0,585187.0,579930.0,584138.0,18.4129,2024-12-04 03:59:59.999000-03:00,10736511.81277,3140,9.20361,5367321.95173,2024-12-04 00:00:00-03:00,580993.1428571428,581765.7619047619,54.047630458553286,,,585405.9632241961,581892.8,578379.636775804,7268.683394521295
2024-12-04 04:00:00-03:00,584138.0,586652.0,583501.0,584881.0,25.85737,2024-12-04 07:59:59.999000-03:00,15136054.91774,3975,11.68889,6842868.95169,2024-12-04 04:00:00-03:00,581567.1428571428,581921.4285714285,54.76859463934003,,,586701.1699778629,582698.8,578696.4300221372,6974.563152055488
2024-12-04 08:00:00-03:00,584904.0,586499.0,580150.0,583296.0,61.28081,2024-12-04 11:59:59.999000-03:00,35750271.46728,10989,30.61773,17866158.33537,2024-12-04 08:00:00-03:00,582520.1428571428,582225.619047619,52.86320243986068,,,586091.5576098596,583413.6,580735.6423901403,6929.88006976581
2024-12-04 12:00:00-03:00,583078.0,586468.0,573874.0,583686.0,102.00853,2024-12-04 15:59:59.999000-03:00,59082661.77594,16474,47.39311,27458576.92546,2024-12-04 12:00:00-03:00,582925.1428571428,582398.7142857143,53.29377620586582,,,586053.2264783869,583388.4,580723.5735216131,7334.460064782537
2024-12-04 16:00:00-03:00,583419.0,599371.0,583122.0,593364.0,151.103426,2024-12-04 19:59:59.999000-03:00,89511834.046028,21505,83.280896,49291325.944948,2024-12-04 16:00:00-03:00,584874.0,582899.8571428572,62.458252812004176,,,593437.8274534125,585873.0,578308.1725465875,7971.21291729807
2024-12-04 20:00:00-03:00,593356.0,612499.0,592300.0,609963.0,156.854636,2024-12-04 23:59:59.999000-03:00,94264764.125136,22145,84.525976,50789841.677336,2024-12-04 20:00:00-03:00,588609.8571428572,584030.0952380953,72.44483562346463,,,611344.9449794868,591038.0,570731.0550205132,8844.626280348208
2024-12-05 00:00:00-03:00,610249.0,622972.0,609313.0,609986.0,123.92326,2024-12-05 03:59:59.999000-03:00,76472287.87803,17540,61.48964,37953430.03166,2024-12-05 00:00:00-03:00,592759.1428571428,585194.2857142857,72.45576923575369,,,619900.6588013482,596059.0,572217.3411986518,9188.510117466192
